Iteracion;Tipo;Tiempo (s)
141;GET;0,1383
141;POST;1,611
142;GET;0,1302
142;POST;1,5293
143;GET;0,1307
143;POST;1,5642
144;GET;0,1336
144;POST;1,5977
145;GET;0,1372
145;POST;1,5587
146;GET;0,1371
146;POST;1,5999
147;GET;0,1285
147;POST;1,65
148;GET;0,1255
148;POST;1,6143
149;GET;0,1407
149;POST;1,5636
150;GET;0,1233
150;POST;1,5782
151;GET;0,1274
151;POST;1,5441
152;GET;0,1268
152;POST;1,573
153;GET;0,1289
153;POST;1,5254
154;GET;0,1247
154;POST;1,5537
155;GET;0,1337
155;POST;1,6184
156;GET;0,1263
156;POST;1,5794
157;GET;0,13
157;POST;1,5587
158;GET;0,1273
158;POST;1,5497
159;GET;0,131
159;POST;1,5725
160;GET;0,1335
160;POST;1,5281
161;GET;0,1328
161;POST;1,566
162;GET;0,1411
162;POST;1,5744
163;GET;0,127
163;POST;1,5918
164;GET;0,1256
164;POST;1,554
165;GET;0,1327
165;POST;1,6001
166;GET;0,1311
166;POST;1,5881
167;GET;0,1322
167;POST;1,5691
168;GET;0,1252
168;POST;1,5867
169;GET;0,1256
169;POST;1,5905
170;GET;0,1271
170;POST;1,5943
171;GET;0,1236
171;POST;1,5485
172;GET;0,1278
172;POST;1,5456
173;GET;0,1312
173;POST;1,6318
174;GET;0,1417
174;POST;1,5281
175;GET;0,1359
175;POST;1,5325
176;GET;0,1364
176;POST;1,6597
177;GET;0,1272
177;POST;1,6931
178;GET;0,128
178;POST;1,5932
179;GET;0,1504
179;POST;1,5661
180;GET;0,1255
180;POST;1,5279
181;GET;0,1254
181;POST;1,5835
182;GET;0,1326
182;POST;1,5837
183;GET;0,1348
183;POST;1,5638
184;GET;0,1264
184;POST;1,5962
185;GET;0,1355
185;POST;1,601
186;GET;0,1259
186;POST;1,5233
187;GET;0,126
187;POST;1,5902
188;GET;0,1279
188;POST;1,5996
189;GET;0,1332
189;POST;1,5976
190;GET;0,1308
190;POST;1,6449
191;GET;0,1339
191;POST;1,5914
192;GET;0,1278
192;POST;1,5552
193;GET;0,1374
193;POST;1,6141
194;GET;0,1338
194;POST;1,5855
195;GET;0,13
195;POST;1,524
196;GET;0,124
196;POST;1,6043
197;GET;0,1282
197;POST;1,5296
198;GET;0,1299
198;POST;1,6019
199;GET;0,1239
199;POST;1,5781
200;GET;0,1399
200;POST;1,591
201;GET;0,135
201;POST;1,5139
202;GET;0,1333
202;POST;1,6263
203;GET;0,1299
203;POST;1,5795
204;GET;0,123
204;POST;1,5875
205;GET;0,1223
205;POST;1,5707
206;GET;0,1255
206;POST;1,5024
207;GET;0,1339
207;POST;1,671
208;GET;0,1237
208;POST;1,5726
209;GET;0,1269
209;POST;1,6223
210;GET;0,1276
210;POST;1,6132
211;GET;0,123
211;POST;1,5506
212;GET;0,1319
212;POST;1,5479
213;GET;0,1427
213;POST;1,5698
214;GET;0,1247
214;POST;1,5657
215;GET;0,1252
215;POST;1,5857
216;GET;0,1294
216;POST;1,5911
217;GET;0,1227
217;POST;1,5346
218;GET;0,1245
218;POST;1,544
219;GET;0,1362
219;POST;1,4944
220;GET;0,14
220;POST;1,6111
221;GET;0,1366
221;POST;1,5554
222;GET;0,1278
222;POST;1,5336
223;GET;0,1269
223;POST;1,5716
224;GET;0,1291
224;POST;1,579
225;GET;0,1333
225;POST;1,6307
226;GET;0,1275
226;POST;1,5535
227;GET;0,1388
227;POST;1,602
228;GET;0,1347
228;POST;1,6211
229;GET;0,1349
229;POST;1,5937
230;GET;0,1244
230;POST;1,6236
231;GET;0,1298
231;POST;1,4793
232;GET;0,1241
232;POST;1,5655
233;GET;0,1309
233;POST;1,5786
234;GET;0,1219
234;POST;1,599
235;GET;0,1254
235;POST;1,5658
236;GET;0,1263
236;POST;1,6034
237;GET;0,1209
237;POST;1,6044
238;GET;0,1254
238;POST;1,6664
239;GET;0,1249
239;POST;1,5554
240;GET;0,1254
240;POST;1,5682
241;GET;0,1225
241;POST;1,565
242;GET;0,1254
242;POST;1,5864
243;GET;0,1415
243;POST;1,5818
244;GET;0,1395
244;POST;1,5351
245;GET;0,1305
245;POST;1,6132
246;GET;0,1293
246;POST;1,6262
247;GET;0,1265
247;POST;1,5662
248;GET;0,1301
248;POST;1,5689
249;GET;0,1338
249;POST;1,5664
250;GET;0,1224
250;POST;1,5447
251;GET;0,1338
251;POST;1,619
252;GET;0,1333
252;POST;1,5611
253;GET;0,1251
253;POST;1,5478
254;GET;0,1349
254;POST;1,6375
255;GET;0,126
255;POST;1,5475
256;GET;0,1353
256;POST;1,5389
257;GET;0,1276
257;POST;1,5641
258;GET;0,1286
258;POST;1,5686
259;GET;0,1266
259;POST;1,5889
260;GET;0,1219
260;POST;1,5921
261;GET;0,1254
261;POST;1,6247
262;GET;0,1271
262;POST;1,6653
263;GET;0,1329
263;POST;1,5473
264;GET;0,1267
264;POST;1,6127
265;GET;0,1255
265;POST;1,6152
266;GET;0,139
266;POST;1,5383
267;GET;0,1261
267;POST;1,6097
268;GET;0,1343
268;POST;1,5513
269;GET;0,1301
269;POST;1,5671
270;GET;0,1318
270;POST;1,5245
271;GET;0,1317
271;POST;1,5732
272;GET;0,1288
272;POST;1,6358
273;GET;0,1281
273;POST;1,5605
274;GET;0,1369
274;POST;1,5514
275;GET;0,1249
275;POST;1,6119
276;GET;0,1298
276;POST;1,609
277;GET;0,125
277;POST;1,5913
278;GET;0,1343
278;POST;1,6199
279;GET;0,1239
279;POST;1,5882
280;GET;0,1323
280;POST;1,5058
281;GET;0,1244
281;POST;1,5948
282;GET;0,1348
282;POST;1,5728
283;GET;0,1334
283;POST;1,5994
284;GET;0,1368
284;POST;1,5926
285;GET;0,1381
285;POST;1,5623
286;GET;0,1244
286;POST;1,5714
287;GET;0,1229
287;POST;1,5992
288;GET;0,1228
288;POST;1,6111
289;GET;0,1397
289;POST;1,6214
290;GET;0,1279
290;POST;1,6144
291;GET;0,1275
291;POST;1,5846
292;GET;0,1309
292;POST;1,5672
293;GET;0,1282
293;POST;1,5681
294;GET;0,1215
294;POST;1,6292
295;GET;0,1279
295;POST;1,6051
296;GET;0,1377
296;POST;1,6179
297;GET;0,1341
297;POST;1,5877
298;GET;0,1254
298;POST;1,5856
299;GET;0,1347
299;POST;1,5724
300;GET;0,1351
300;POST;1,5563
301;GET;0,1498
301;POST;1,5493
302;GET;0,1374
302;POST;1,5415
303;GET;0,1253
303;POST;1,6008
304;GET;0,1385
304;POST;1,6231
305;GET;0,1256
305;POST;1,6179
306;GET;0,1326
306;POST;1,603
307;GET;0,1284
307;POST;1,5573
308;GET;0,13
308;POST;1,6146
309;GET;0,138
309;POST;1,6292
310;GET;0,1601
310;POST;1,6179
311;GET;0,1352
311;POST;1,5378
312;GET;0,1371
312;POST;1,5736
313;GET;0,132
313;POST;1,5839
314;GET;0,1365
314;POST;1,6346
315;GET;0,1398
315;POST;1,5681
316;GET;0,1292
316;POST;1,5216
317;GET;0,1379
317;POST;1,6353
318;GET;0,1279
318;POST;1,6368
319;GET;0,1248
319;POST;1,5593
320;GET;0,1286
320;POST;1,5864
321;GET;0,1242
321;POST;1,604
322;GET;0,1294
322;POST;1,5616
323;GET;0,1234
323;POST;1,5627
324;GET;0,1336
324;POST;1,5808
325;GET;0,1344
325;POST;1,57
326;GET;0,1316
326;POST;1,565
327;GET;0,1386
327;POST;1,6125
328;GET;0,1285
328;POST;1,5975
329;GET;0,1266
329;POST;1,5507
330;GET;0,1249
330;POST;1,5599
331;GET;0,1278
331;POST;1,644
332;GET;0,1281
332;POST;1,5545
