Iteracion;Tipo;Tiempo (s)
141;POST;1,6444
142;GET;0,1234
142;POST;1,577
143;GET;0,124
143;POST;1,5561
144;GET;0,1363
144;POST;1,5533
145;GET;0,1311
145;POST;1,5439
146;GET;0,1253
146;POST;1,5826
147;GET;0,1271
147;POST;1,5509
148;GET;0,1297
148;POST;1,5813
149;GET;0,1214
149;POST;1,585
150;GET;0,1227
150;POST;1,483
151;GET;0,1258
151;POST;1,5197
152;GET;0,128
152;POST;1,5698
153;GET;0,1314
153;POST;1,5636
154;GET;0,1236
154;POST;1,5977
155;GET;0,1208
155;POST;1,5402
156;GET;0,1182
156;POST;1,5535
157;GET;0,1319
157;POST;1,5615
158;GET;0,1244
158;POST;1,6397
159;GET;0,1226
159;POST;1,5634
160;GET;0,1315
160;POST;1,5906
161;GET;0,1345
161;POST;1,5288
162;GET;0,1266
162;POST;1,5381
163;GET;0,1202
163;POST;1,6032
164;GET;0,1237
164;POST;1,5422
165;GET;0,127
165;POST;1,5612
166;GET;0,1202
166;POST;1,5547
167;GET;0,1334
167;POST;1,6064
168;GET;0,1193
168;POST;1,5006
169;GET;0,1351
169;POST;1,5639
170;GET;0,1296
170;POST;1,5381
171;GET;0,1339
171;POST;1,5735
172;GET;0,1334
172;POST;1,5892
173;GET;0,1469
173;POST;1,4888
174;GET;0,1252
174;POST;1,5698
175;GET;0,1227
175;POST;1,6102
176;GET;0,1253
176;POST;1,6049
177;GET;0,1334
177;POST;1,625
178;GET;0,1314
178;POST;1,5702
179;GET;0,1388
179;POST;1,551
180;GET;0,1364
180;POST;1,5487
181;GET;0,1293
181;POST;1,5965
182;GET;0,1591
182;POST;1,5196
183;GET;0,1303
183;POST;1,5647
184;GET;0,1335
184;POST;1,618
185;GET;0,1276
185;POST;1,6112
186;GET;0,1656
186;POST;1,5864
187;GET;0,1328
187;POST;1,6165
188;GET;0,1276
188;POST;1,614
189;GET;0,1165
189;POST;1,6281
190;GET;0,1186
190;POST;1,5735
191;GET;0,1296
191;POST;1,6144
192;GET;0,1296
192;POST;1,5958
193;GET;0,1316
193;POST;1,5633
194;GET;0,1231
194;POST;1,6073
195;GET;0,1292
195;POST;1,5523
196;GET;0,1239
196;POST;1,5895
197;GET;0,129
197;POST;1,5788
198;GET;0,1199
198;POST;1,5823
199;GET;0,1199
199;POST;1,5555
200;GET;0,1303
200;POST;1,6408
201;GET;0,1352
201;POST;1,5276
202;GET;0,124
202;POST;1,575
203;GET;0,1235
203;POST;1,6717
204;GET;0,1214
204;POST;1,5935
205;GET;0,1251
205;POST;1,6425
206;GET;0,1262
206;POST;1,5325
207;GET;0,1307
207;POST;1,6559
208;GET;0,1294
208;POST;1,5339
209;GET;0,1298
209;POST;1,5893
210;GET;0,1179
210;POST;1,6192
211;GET;0,1196
211;POST;1,5835
212;GET;0,1348
212;POST;1,6032
213;GET;0,1447
213;POST;1,5564
214;GET;0,1552
214;POST;1,5668
215;GET;0,1243
215;POST;1,5776
216;GET;0,1321
216;POST;1,6173
217;GET;0,1296
217;POST;1,5748
218;GET;0,127
218;POST;1,5855
219;GET;0,1245
219;POST;1,5783
220;GET;0,1274
220;POST;1,5718
221;GET;0,124
221;POST;1,5926
222;GET;0,1408
222;POST;1,5952
223;GET;0,1255
223;POST;1,5502
224;GET;0,125
224;POST;1,5054
225;GET;0,1337
225;POST;1,595
226;GET;0,1281
226;POST;1,5567
227;GET;0,1341
227;POST;1,5734
228;GET;0,1345
228;POST;1,5664
229;GET;0,123
229;POST;1,5531
230;GET;0,1308
230;POST;1,6369
231;GET;0,1405
231;POST;1,5194
232;GET;0,1268
232;POST;1,6229
233;GET;0,1297
233;POST;1,6139
234;GET;0,1179
234;POST;1,5517
235;GET;0,5736
235;POST;1,5688
236;GET;0,2224
236;POST;1,623
237;GET;0,1248
237;POST;1,5426
238;GET;0,1319
238;POST;1,5278
239;GET;0,1432
239;POST;1,5694
240;GET;0,1249
240;POST;1,6174
241;GET;0,1253
241;POST;1,5951
242;GET;0,1215
242;POST;1,6257
243;GET;0,1263
243;POST;1,5496
244;GET;0,1375
244;POST;1,5654
245;GET;0,1295
245;POST;1,5788
246;GET;0,1293
246;POST;1,5535
247;GET;0,1373
247;POST;1,6042
248;GET;0,1244
248;POST;1,6442
249;GET;0,1421
249;POST;1,5491
250;GET;0,1287
250;POST;1,4933
251;GET;0,1235
251;POST;1,5376
252;GET;0,13
252;POST;1,5767
253;GET;0,124
253;POST;1,6175
254;GET;0,1408
254;POST;1,521
255;GET;0,127
255;POST;1,5837
256;GET;0,1272
256;POST;1,5373
257;GET;0,1275
257;POST;1,6076
258;GET;0,1327
258;POST;1,5579
259;GET;0,1313
259;POST;1,5601
260;GET;0,1328
260;POST;1,5728
261;GET;0,1235
261;POST;1,5767
262;GET;0,1267
262;POST;1,5562
263;GET;0,1264
263;POST;1,6178
264;GET;0,1268
264;POST;1,5906
265;GET;0,1354
265;POST;1,5676
266;GET;0,1237
266;POST;1,6044
267;GET;0,1298
267;POST;1,5983
268;GET;0,1294
268;POST;1,5056
269;GET;0,1364
269;POST;1,5407
270;GET;0,1357
270;POST;1,5405
271;GET;0,1425
271;POST;1,5665
272;GET;0,1326
272;POST;1,5653
273;GET;0,1271
273;POST;1,551
274;GET;0,1348
274;POST;1,5736
275;GET;0,126
275;POST;1,5444
276;GET;0,1266
276;POST;1,5531
277;GET;0,1236
277;POST;1,6497
278;GET;0,1531
278;POST;1,5658
279;GET;0,1261
279;POST;1,5725
280;GET;0,1254
280;POST;1,5223
281;GET;0,1202
281;POST;1,543
282;GET;0,1229
282;POST;1,5825
283;GET;0,1347
283;POST;1,6056
284;GET;0,1249
284;POST;1,5795
285;GET;0,1548
285;POST;1,5345
286;GET;0,1229
286;POST;1,6428
287;GET;0,1231
287;POST;1,6025
288;GET;0,1224
